name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,oil,onshore,pump,pump_open,solar,waste
2028-base,AT,S,avg_consumer_price_EUR_per_MWh,,74.71571772940051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,avg_producer_price_EUR_per_MWh,,62.1635422570231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,capacity_factor,,0.9027459860293294,,0.0,,,,,,0.0,,0.2590979395991807,,,,0.2951478361531734,0.7090149325450973,0.3737988765603882,0.079172557432098,,,,,,,,0.0,0.2395190164348631,,0.1222543439723157,0.1769316874418498,0.4880402540820487
2028-base,AT,S,capacity_factor_charging,,,,,,,,,,,,,,,,,,,0.0898949415731925,,,,,,,,,,,0.1938270520290001,,
2028-base,AT,S,capex_mn_EUR_per_yr,,,,87.78898862808691,,,,,,0.0,,419.8632624670946,,,,514.3631273496388,233.61674425437783,1006.7865952388668,141.84859096191832,,,,,,,,7.504019106720023,919.5683794332635,,880.0241183564913,844.1866468446258,94.46642967761484
2028-base,AT,S,charged_TWh,,13.944937367788608,,,,,,,,,,,,,,0.0,0.0,0.0,1.388444954610211,,,,,,,,,,,3.1219045961060443,,
2028-base,AT,S,curtailment_TWh,,0.095358540601368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,discharged_TWh,,65.59263205576083,,,,,,,,,,,,,,3.2642689547387995,3.561523809160533,8.091926310394985,1.2228356344242275,,,,,,,,,,,2.3133182134086985,,
2028-base,AT,S,emissions_MtCO2,,13.791556288100074,,0.0,,,,,,0.0,0.0,1.5129037019744291,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0
2028-base,AT,S,export_TWh,,6.586630275744972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,heat_production_PJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,import_TWh,,4.132602325720007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,inflow_TWh,,,,,,,,,,,,,,,,4.056447,3.583321,8.262819,,,,,,,,,,,,1.764756,,
2028-base,AT,S,load_TWh,,34.988376681072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,net_import_TWh,,-2.4540279500249653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,opex_mn_EUR,,,,0.0,,,,,,0.0,,341.95285662302695,,,,9.7928068642164,7.123047618321065,,6.11417817212114,,,,,,,,0.0,0.0,,9.253272853634794,0.0,7.264463365942695
2028-base,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7664819662398407,,,0.429661812927909,
2028-base,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2203124825039128,,,0.5376044997421218,
2028-base,AT,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0132055512562466,,,0.0327336873299691,
2028-base,AT,S,production_TWh,,173.15055071967114,,0.0,,,,,,0.0,0.0,3.851027605025819,,,,3.2642689547387995,3.561523809160533,8.091926310394985,1.2228356344242275,,,,,,,,0.0,6.988743346100381,,2.3133182134086985,12.58179630294488,0.1726725462162615
