name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar,waste
2028-base,CZ,S,avg_consumer_price_EUR_per_MWh,,81.79997999638444,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,avg_producer_price_EUR_per_MWh,,79.33200292749743,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,capacity_factor,,1.254848174595437,1.2092821257579472e-19,,0.0900212399947446,,,2.0506769515015802e-17,,,0.7721496163503322,0.258365271436473,0.4570121940500727,0.0,0.1834118275572145,0.3347628402805361,0.0862423724738109,0.0,0.2120555987543579,0.3768956846992791,0.0,0.0,0.7758452989642761,0.1623204955012917,0.1177368161740561,0.1253913170836981,0.163971334533138,0.4887207781713185
2028-base,CZ,S,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0111219934505639,,,,,,,,0.1675161045247033,0.1767374941268378,,
2028-base,CZ,S,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,S,charged_TWh,,2.704230225288822,,,,,,,,,,,,,0.0,0.0,0.0610170836357573,,,,,,,,0.4858556687904324,0.3396753247122521,,
2028-base,CZ,S,curtailment_TWh,,0.0017445117895748,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,discharged_TWh,,6.367642127654378,,,,,,,,,,,,,0.4878960034268769,0.6068312958333334,0.0376706682965606,,,,,,,,0.348678052046732,0.2574233583201489,,
2028-base,CZ,S,emissions_MtCO2,,32.718894612664634,0.0,0.0,0.0,0.0,0.0,8.702487873181651e-18,0.0,0.0,0.8180603970991366,0.3389004135420446,0.323339234973346,0.0,0.0,0.0,0.0,0.0,0.6639052971671422,2.721795303922174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,S,export_TWh,,1.7136758442881557,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,heat_production_PJ,,,7.162270776461814e-19,,,,0.0,6.233631211216561e-17,,2.4760993255768008e-18,,1.4566061138961208,2.380952548440093,,,,,,3.585088604702567,16.43806993296122,,,,,,,,
2028-base,CZ,S,import_TWh,,6.698907369725944,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.488849,0.61016,,,,,,,,,,0.013893,,
2028-base,CZ,S,load_TWh,,30.449230927,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,net_import_TWh,,4.985231525437788,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,opex_mn_EUR,,,6.710658000936395e-18,0.0,10.903725287014735,0.0,0.0,4.61052876369101e-16,0.0,,180.00400634850357,57.978385153883394,71.59759468966612,0.0,1.4636880102806311,,0.1883533414828032,0.0,74.1348429118531,121.35499552288633,0.0,0.0,284.9058333494021,0.0,1.394712208186928,1.0296934332805958,0.0,17.383107136017614
2028-base,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.9552808718901492,0.9540531000559832,,,0.8337016594318253,
2028-base,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.0430382489866638,0.0446979635023042,,,0.1588578618370675,
2028-base,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0016808791231867,0.0012489364417123,,,0.0074404787311072,
2028-base,CZ,S,production_TWh,,115.64125205590727,4.4211548002850685e-20,0.0,0.1097063645868755,0.0,0.0,4.102470744068602e-18,0.0,-6.87805368215778e-19,2.082335556252348,0.6603491933992282,0.6613757079000259,0.0,0.4878960034268769,0.6068312958333334,0.0376706682965606,0.0,0.3319526485835711,1.0910343978744337,0.0,0.0,13.891069397825554,0.3545079621748212,0.348678052046732,0.2574233583201489,5.013587524685228,0.4178738592844915
2028-base,CZ,S,production_el_eq_TWh,,,1.1052887000712672e-19,,,,0.0,1.0286628691704079e-17,,0.0,,0.8626555981070226,0.6613757079000259,,,,,,0.3319526485835711,2.721795303922174,,,,,,,,
2028-base,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,1.4269265425787136e-06,,,0.0003376409482567,
