name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar,waste
2028-base,CZ,S,avg_consumer_price_EUR_per_MWh,,83.62744317832662,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,avg_producer_price_EUR_per_MWh,,81.14906086511,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,capacity_factor,,1.2670139097627695,-2.2967722659929294e-19,,0.1624541216770094,,,2.9218622189753706e-17,,,0.8062600053965933,0.253681648811582,0.4166702990921698,0.0,0.142991837058692,0.2979229739470703,0.085443779749855,0.0,0.1831809144744866,0.4045705871656448,0.0,0.0,0.7758452989642761,0.2003858243334181,0.1175994718936627,0.1226180190984592,0.1628443259893839,0.4898931617483173
2028-base,CZ,S,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0086589691167977,,,,,,,,0.1683544944509448,0.1752281682113022,,
2028-base,CZ,S,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,S,charged_TWh,,2.5151611599637143,,,,,,,,,,,,,0.0,0.0,0.0475045274165575,,,,,,,,0.4882872946897867,0.3367745210486659,,
2028-base,CZ,S,curtailment_TWh,,1.0122676030732692e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,discharged_TWh,,5.800288960150225,,,,,,,,,,,,,0.3803743016618713,0.5400509333333333,0.0373218429947366,,,,,,,,0.3482713064109698,0.2517298884883728,,
2028-base,CZ,S,emissions_MtCO2,,33.557987987893085,-0.0,0.0,0.0,0.0,0.0,1.2399549577578217e-17,0.0,0.0,0.854198935301466,0.3327568570352996,0.2947970699657439,0.0,0.0,0.0,0.0,0.0,0.5735042138661458,2.9216527780918766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,S,export_TWh,,1.8183227047545787,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,heat_production_PJ,,,-1.3603198567578777e-18,,,,0.0,8.556457942177135e-17,,-7.387370715153739e-19,,1.1930679422590098,2.1707784242932058,,,,,,3.096922754877187,17.613415478570595,,,,,,,,
2028-base,CZ,S,import_TWh,,6.945361117500779,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.380473,0.5418,,,,,,,,,,0.011492,,
2028-base,CZ,S,load_TWh,,30.656589452,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,net_import_TWh,,5.1270384127462005,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,opex_mn_EUR,,,-1.274545687463451e-17,0.0,19.65379469050076,0.0,0.0,6.932001560401326e-16,0.0,,187.6576599948721,60.19733643576709,65.27745119718735,0.0,1.1411229049856142,,0.1866092149736833,0.0,64.13357390892719,130.30271560355595,0.0,0.0,284.9058333494021,0.0,1.3930852256438797,1.0069195539534912,0.0,17.444147982017824
2028-base,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.95266735385382,0.9580960044164342,,,0.8255888533705309,
2028-base,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.0473326461461801,0.0419039955835659,,,0.1744111466294692,
2028-base,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,
2028-base,CZ,S,production_TWh,,116.76239234635275,-8.397036152826406e-20,0.0,0.1979782893723644,0.0,0.0,6.168128441870453e-18,0.0,2.0520474208760373e-19,2.1743245625855496,0.6813135734023652,0.6029940067481127,0.0,0.3803743016618713,0.5400509333333333,0.0373218429947366,0.0,0.2867521069330729,1.1742901314082856,0.0,0.0,13.891069397825554,0.4376426403441852,0.3482713064109698,0.2517298884883728,4.979128111451403,0.4188762894486342
2028-base,CZ,S,production_el_eq_TWh,,,-2.0992590382066014e-19,,,,0.0,1.4656677987681106e-17,,0.0,,0.847017454271672,0.6029940067481127,,,,,,0.2867521069330729,2.9216527780918766,,,,,,,,
2028-base,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
2028-base,CZ,S,production_hours,,,0.0,0.0,861.0,0.0,0.0,0.0,0.0,0.0,3692.0,3373.0,2168.0,0.0,4368.0,4368.0,421.0,0.0,1661.0,4368.0,0.0,0.0,,,763.0,790.0,,2736.0
2028-base,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.4376426403441852,,,4.979128111451403,
2028-base,CZ,S,wholesale_expenses_mn_EUR,445.7301656043115,,,,,,,,,,,,,,0.0,0.0,2.2904264591504573,,,,,,,,21.75971829725598,15.233462267956224,,
2028-base,CZ,S,wholesale_revenues_mn_EUR,4.082533638966017,,-4.0797606760521253e-19,0.0,20.03741233782958,0.0,0.0,5.141997745301063e-16,0.0,,199.7018343916505,64.72519807573322,59.44151471147208,0.0,36.12211354965187,45.71688150339525,3.7201333376321606,0.0,26.03439200534728,98.7003882868297,0.0,0.0,1170.1806194494236,35.888417447011854,34.69369217952672,25.1743602203458,300.53610516752246,40.85133915083833
2028-base,CZ,W,avg_consumer_price_EUR_per_MWh,,102.7756329374386,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,avg_producer_price_EUR_per_MWh,,102.27385171439252,,,,,,,,,,,,,,,,,,,,,,,,,,
