name,weather,Date,neighbour,ExportGWh,ImportGWh
Základní,WS04,2018-10-29,PL,12.269,6.299
Základní,WS04,2018-10-29,SK,0.841,4.976
Základní,WS04,2018-10-29,AT,0.255,9.671
Základní,WS04,2018-10-29,DE,3.454,16.509
Základní,WS04,2018-10-30,PL,4.24,1.886
Základní,WS04,2018-10-30,SK,0.234,0.511
Základní,WS04,2018-10-30,AT,0,14.071
Základní,WS04,2018-10-30,DE,0,4.644
Základní,WS04,2018-10-31,PL,3.978,0.36
Základní,WS04,2018-10-31,SK,0,1.578
Základní,WS04,2018-10-31,AT,0,12.066
Základní,WS04,2018-10-31,DE,0,4.579
Základní,WS04,2018-11-01,PL,3.9,0.432
Základní,WS04,2018-11-01,SK,0,15.399
Základní,WS04,2018-11-01,AT,0,11.709
Základní,WS04,2018-11-01,DE,6.098,9.672
Základní,WS04,2018-11-02,PL,15.345,0
Základní,WS04,2018-11-02,SK,0,17.127
Základní,WS04,2018-11-02,AT,0,13.54
Základní,WS04,2018-11-02,DE,6.149,4.35
Základní,WS04,2018-11-03,PL,16.527,0
Základní,WS04,2018-11-03,SK,3.813,13.988
Základní,WS04,2018-11-03,AT,0,7.765
Základní,WS04,2018-11-03,DE,4.831,10.003
Základní,WS04,2018-11-04,PL,3.95,0
Základní,WS04,2018-11-04,SK,0.051,9.875
Základní,WS04,2018-11-04,AT,0,0
Základní,WS04,2018-11-04,DE,26.037,0
Základní,WS04,2018-11-05,PL,10.381,0
Základní,WS04,2018-11-05,SK,0,11.796
Základní,WS04,2018-11-05,AT,0,9.719
Základní,WS04,2018-11-05,DE,18.615,0
Základní,WS04,2018-11-06,PL,3.858,0
Základní,WS04,2018-11-06,SK,0,8.277
Základní,WS04,2018-11-06,AT,0.902,11.991
Základní,WS04,2018-11-06,DE,18.94,0
Základní,WS04,2018-11-07,PL,0,0
Základní,WS04,2018-11-07,SK,0,9.959
Základní,WS04,2018-11-07,AT,0.964,2.145
Základní,WS04,2018-11-07,DE,11.237,5.599
Základní,WS04,2018-11-08,PL,8.473,1.886
Základní,WS04,2018-11-08,SK,0,3.922
Základní,WS04,2018-11-08,AT,5.398,6.301
Základní,WS04,2018-11-08,DE,2.424,0
Základní,WS04,2018-11-09,PL,6.705,0.671
Základní,WS04,2018-11-09,SK,0,4.662
Základní,WS04,2018-11-09,AT,0,8.27
Základní,WS04,2018-11-09,DE,14.165,2.214
Základní,WS04,2018-11-10,PL,17.727,0
Základní,WS04,2018-11-10,SK,0,10.559
Základní,WS04,2018-11-10,AT,0,13.515
Základní,WS04,2018-11-10,DE,5.373,7.416
Základní,WS04,2018-11-11,PL,12.353,0
Základní,WS04,2018-11-11,SK,0,8.061
Základní,WS04,2018-11-11,AT,0,10.433
Základní,WS04,2018-11-11,DE,3.711,18.217
Základní+,WS04,2018-10-29,PL,12.533,6.416
Základní+,WS04,2018-10-29,SK,2.031,5.103
Základní+,WS04,2018-10-29,AT,0.255,6.686
Základní+,WS04,2018-10-29,DE,3.454,22.615
Základní+,WS04,2018-10-30,PL,4.259,1.844
Základní+,WS04,2018-10-30,SK,0.234,0.616
Základní+,WS04,2018-10-30,AT,0,14.414
Základní+,WS04,2018-10-30,DE,0,4.041
Základní+,WS04,2018-10-31,PL,5.101,0.365
Základní+,WS04,2018-10-31,SK,0,1.516
Základní+,WS04,2018-10-31,AT,0,12.029
Základní+,WS04,2018-10-31,DE,0.033,4.696
Základní+,WS04,2018-11-01,PL,3.513,0
Základní+,WS04,2018-11-01,SK,0,12.677
Základní+,WS04,2018-11-01,AT,0,10.884
Základní+,WS04,2018-11-01,DE,5.714,14.636
Základní+,WS04,2018-11-02,PL,15.538,0
Základní+,WS04,2018-11-02,SK,0,17.282
Základní+,WS04,2018-11-02,AT,0,12.668
Základní+,WS04,2018-11-02,DE,5.898,5.724
Základní+,WS04,2018-11-03,PL,17.95,0
Základní+,WS04,2018-11-03,SK,7.808,14.008
Základní+,WS04,2018-11-03,AT,0,4.929
Základní+,WS04,2018-11-03,DE,4.911,18.428
Základní+,WS04,2018-11-04,PL,1.92,0
Základní+,WS04,2018-11-04,SK,0,9.969
Základní+,WS04,2018-11-04,AT,0,1.762
Základní+,WS04,2018-11-04,DE,34.474,0
Základní+,WS04,2018-11-05,PL,10.381,0
Základní+,WS04,2018-11-05,SK,0,15.938
Základní+,WS04,2018-11-05,AT,0,9.965
Základní+,WS04,2018-11-05,DE,28.306,0
Základní+,WS04,2018-11-06,PL,3.858,0
Základní+,WS04,2018-11-06,SK,0,13.697
Základní+,WS04,2018-11-06,AT,0,11.105
Základní+,WS04,2018-11-06,DE,27.965,0
Základní+,WS04,2018-11-07,PL,0,0
Základní+,WS04,2018-11-07,SK,0,10.571
Základní+,WS04,2018-11-07,AT,1.457,2.958
