name,region,week,Demand,Price
Základní,BG,8,0.624,72.556
Základní,BG,9,0.577,69.257
Základní,BG,10,0.567,65.749
Základní,BG,11,0.654,85.03
Základní,BG,12,0.637,74.658
Základní,BG,13,0.563,68.233
Základní,BG,14,0.517,62.159
Základní,BG,15,0.599,65.978
Základní,BG,16,0.557,62.315
Základní,BG,17,0.54,61.388
Základní,BG,18,0.522,75.519
Základní,BG,19,0.545,76.776
Základní,BG,20,0.544,74.069
Základní,BG,21,0.546,64.657
Základní,BG,22,0.525,68.326
Základní,BG,23,0.529,60.105
Základní,BG,24,0.547,70.469
Základní,BG,25,0.564,66.561
Základní,BG,26,0.563,73.125
Základní,BG,27,0.558,74.3
Základní,BG,28,0.54,72.02
Základní,BG,29,0.595,73.869
Základní,BG,30,0.563,80.34
Základní,BG,31,0.572,67.237
Základní,BG,32,0.537,64.767
Základní,BG,33,0.535,72.325
Základní,BG,34,0.549,75.041
Základní,BG,35,0.525,62.834
Základní,BG,36,0.524,71.585
Základní,BG,37,0.529,71.636
Základní,BG,38,0.524,81.63
Základní,BG,39,0.529,81.905
Základní,BG,40,0.534,75.195
Základní,BG,41,0.54,79.096
Základní,BG,42,0.563,86.141
Základní,BG,43,0.563,80.497
Základní,BG,44,0.603,82.607
Základní,BG,45,0.664,85.091
Základní,BG,46,0.677,87.808
Základní,BG,47,0.732,83.872
Základní,BG,48,0.85,86.921
Základní,BG,49,0.798,89.55
Základní,BG,50,0.742,82.441
Základní,BG,51,0.75,87.32
Základní,BG,52,0.631,86.334
Základní,CH,1,1.636,89.32
Základní,CH,2,1.413,89.016
Základní,CH,3,1.356,85.171
Základní,CH,4,1.409,89.405
Základní,CH,5,1.665,93.162
Základní,CH,6,1.514,89.696
Základní,CH,7,1.387,92.577
Základní,CH,8,1.327,81.914
Základní,CH,9,1.266,82.334
Základní,CH,10,1.229,71.846
Základní,CH,11,1.329,87.235
Základní,CH,12,1.394,86.484
Základní,CH,13,1.165,76.492
Základní,CH,14,1.135,80.053
Základní,CH,15,1.239,82.777
Základní,CH,16,1.241,79.773
Základní,CH,17,1.152,70.876
Základní,CH,18,1.119,68.428
Základní,CH,19,1.121,71.917
Základní,CH,20,1.095,63.432
Základní,CH,21,1.026,56.274
Základní,CH,22,1.041,63.908
Základní,CH,23,1.06,51.281
Základní,CH,24,1.069,67.616
Základní,CH,25,1.071,62.683
Základní,CH,26,1.063,69.124
Základní,CH,27,1.031,63.67
Základní,CH,28,1.027,74.271
Základní,CH,29,1.023,75.414
Základní,CH,30,1.01,74.908
Základní,CH,31,1.002,63.988
Základní,CH,32,1.022,66.04
Základní,CH,33,1.009,65.738
Základní,CH,34,1.052,79.481
Základní,CH,35,1.051,78.172
Základní,CH,36,1.059,74.082
Základní,CH,37,1.081,78.3
Základní,CH,38,1.117,81.221
Základní,CH,39,1.106,80.985
Základní,CH,40,1.164,76.237
Základní,CH,41,1.127,79.616
Základní,CH,42,1.127,80.906
Základní,CH,43,1.177,88.693
Základní,CH,44,1.222,90.689
Základní,CH,45,1.352,95.001
Základní,CH,46,1.316,92.671
Základní,CH,47,1.332,90.843
Základní,CH,48,1.418,91.865
Základní,CH,49,1.463,94.659
Základní,CH,50,1.45,90.824
Základní,CH,51,1.459,92.116
Základní,CH,52,1.407,89.035
Základní,CZ,1,1.528,105.275
Základní,CZ,2,1.419,106.447
Základní,CZ,3,1.416,104.673
Základní,CZ,4,1.461,111.359
Základní,CZ,5,1.594,116.581
Základní,CZ,6,1.505,107.881
Základní,CZ,7,1.397,112.467
Základní,CZ,8,1.38,94.373
Základní,CZ,9,1.357,96.6
Základní,CZ,10,1.335,86.913
Základní,CZ,11,1.404,103.576
Základní,CZ,12,1.393,97.729
Základní,CZ,13,1.271,88.018
Základní,CZ,14,1.243,86.993
Základní,CZ,15,1.337,93.441
Základní,CZ,16,1.3,88.129
Základní,CZ,17,1.24,82.007
Základní,CZ,18,1.184,78.928
Základní,CZ,19,1.202,86.817
Základní,CZ,20,1.214,79.457
Základní,CZ,21,1.186,69.527
Základní,CZ,22,1.182,80.567
Základní,CZ,23,1.176,72.851
Základní,CZ,24,1.178,84.254
Základní,CZ,25,1.172,74.055
Základní,CZ,26,1.172,85.159
Základní,CZ,27,1.068,80.612
Základní,CZ,28,1.139,86.321
Základní,CZ,29,1.125,89.126
Základní,CZ,30,1.128,87.249
Základní,CZ,31,1.115,76.443
Základní,CZ,32,1.121,81.89
Základní,CZ,33,1.13,83.223
Základní,CZ,34,1.145,90.645
Základní,CZ,35,1.158,85.981
Základní,CZ,36,1.166,82.965
Základní,CZ,37,1.18,86.678
Základní,CZ,38,1.205,90.734
Základní,CZ,39,1.19,88.249
Základní,CZ,40,1.246,86.152
Základní,CZ,41,1.252,91.302
Základní,CZ,42,1.264,95.946
Základní,CZ,43,1.312,99.997
Základní,CZ,44,1.382,106.799
Základní,CZ,45,1.411,109.998
Základní,CZ,46,1.4,110.149
Základní,CZ,47,1.378,104.28
Základní,CZ,48,1.432,109.25
Základní,CZ,49,1.451,110.654
Základní,CZ,50,1.409,105.015
Základní,CZ,51,1.357,104.053
Základní,CZ,52,1.18,95.955
Základní,DE,1,14.152,96.309
Základní,DE,2,12.681,99.295
Základní,DE,3,12.581,92.857
Základní,DE,4,12.841,110.46
Základní,DE,5,14.81,116.404
Základní,DE,6,13.373,104.713
Základní,DE,7,13.663,114.112
Základní,DE,8,12.881,85.976
Základní,DE,9,12.388,93.068
Základní,DE,10,11.872,78.269
Základní,DE,11,13.059,96.257
Základní,DE,12,12.937,94.796
