name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar,waste
2028-base,CZ,S,avg_consumer_price_EUR_per_MWh,,81.53775260854101,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,avg_producer_price_EUR_per_MWh,,79.51105482163112,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,capacity_factor,,1.198667268540078,1.7098518201602297e-19,,0.0456006672981927,,,0.0001327837688675,,,0.7094575306626092,0.3424760164521157,0.4942418445686703,0.0,0.1380046156387935,0.2960947154000618,0.086443098252158,0.0,0.3166069432160894,0.3075552749549535,0.0,0.0,0.7758452989642761,0.2017999445876626,0.1246368757359664,0.1315879492724894,0.1630266779007431,0.5550616893189503
2028-base,CZ,S,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0102727674005734,,,,,,,,0.1769735074268769,0.1843106932604163,,
2028-base,CZ,S,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,S,charged_TWh,,3.0277033972285,,,,,,,,,,,,,0.0,0.0,0.0563580899806849,,,,,,,,0.5132854662125573,0.3542304075910594,,
2028-base,CZ,S,curtailment_TWh,,0.0016667770512331,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,discharged_TWh,,5.707253229701233,,,,,,,,,,,,,0.3671077341161424,0.5367368125,0.0377583453165426,,,,,,,,0.3691126060395677,0.2701447963384499,,
2028-base,CZ,S,emissions_MtCO2,,27.551817473733724,0.0,0.0,0.0,0.0,0.0,5.634964285714643e-05,0.0,0.0,0.7516407403037588,0.4492293525308112,0.3496794658768772,0.0,0.0,0.0,0.0,0.0,0.9912354493622566,2.221045602410652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,S,export_TWh,,1.860716915335878,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,heat_production_PJ,,,1.0127017891658576e-18,,,,0.0,0.00040284,,1.1671612159399585e-18,,1.989245320770357,2.5749124305479145,,,,,,5.352671426556185,13.426368942125544,,,,,,,,
2028-base,CZ,S,import_TWh,,6.899252590546363,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.366456,0.54068,,,,,,,,,,0.014669,,
2028-base,CZ,S,load_TWh,,30.420967933,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,net_import_TWh,,5.038535675210484,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,opex_mn_EUR,,,9.488464728759757e-18,0.0,5.517633121347524,0.0,0.0,0.004343957111739,0.0,,165.59358451695093,76.42852956334085,77.43015990996396,0.0,1.1013232023484272,,0.1887917265827133,0.0,109.11089197468098,99.04133155695364,0.0,0.0,284.9058333494021,0.0,1.476450424158271,1.0805791853537998,0.0,19.80157268449457
2028-base,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.9645933345082156,0.9566012743470046,,,0.8762446870257733,
2028-base,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.034400967068754,0.0412869934168666,,,0.119922340009647,
2028-base,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0010056984230301,0.0021117322361287,,,0.0038329729645797,
2028-base,CZ,S,production_TWh,,110.46386848918888,6.251245612134921e-20,0.0,0.0555722564176231,0.0,0.0,2.66428571428588e-05,0.0,-3.2421144887221065e-19,1.9132673389550223,0.8672088250219396,0.7152534529299762,0.0,0.3671077341161424,0.5367368125,0.0377583453165426,0.0,0.4956177246811283,0.8890645565648645,0.0,0.0,13.891069397825554,0.4407310789794552,0.3691126060395677,0.2701447963384499,4.984703703493123,0.474597726588518
2028-base,CZ,S,production_el_eq_TWh,,,1.5628114030337312e-19,,,,0.0,6.660714285714707e-05,,0.0,,1.143492897351156,0.7152534529299762,,,,,,0.4956177246811283,2.221045602410652,,,,,,,,
