name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,oil,onshore,pump,pump_open,solar,waste
2028-base,AT,S,avg_consumer_price_EUR_per_MWh,,73.22342008066398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,avg_producer_price_EUR_per_MWh,,60.66278220962759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,capacity_factor,,0.8785098489657485,,0.0,,,,,,0.0,,0.1997436424305032,,,,0.293597665100766,0.6656727727722133,0.3536607132378442,0.0795481924413648,,,,,,,,0.0,0.2700733278471761,,0.1504931308529257,0.1704821962209249,0.5444157993307124
2028-base,AT,S,capacity_factor_charging,,,,,,,,,,,,,,,,,,,0.090129034476666,,,,,,,,,,,0.2081813349612592,,
2028-base,AT,S,capex_mn_EUR_per_yr,,,,87.78898862808691,,,,,,0.0,,419.8632624670946,,,,514.3631273496388,233.61674425437783,1006.7865952388668,141.84859096191832,,,,,,,,7.504019106720023,919.5683794332635,,880.0241183564913,844.1866468446258,94.46642967761484
2028-base,AT,S,charged_TWh,,15.917691521360474,,,,,,,,,,,,,,0.0,0.0,0.0,1.3920605652891855,,,,,,,,,,,3.353104015335314,,
2028-base,AT,S,curtailment_TWh,,0.10251563768843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,discharged_TWh,,65.17989112183652,,,,,,,,,,,,,,3.2471244101374896,3.3438074721893813,7.6559792173159105,1.2286373906105497,,,,,,,,,,,2.847657508790091,,
2028-base,AT,S,emissions_MtCO2,,10.814178127005968,,0.0,,,,,,0.0,0.0,1.1663268976451575,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0
2028-base,AT,S,export_TWh,,7.055077792276991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,heat_production_PJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,import_TWh,,5.602388012463506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
