name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar,waste
2028-base,CZ,S,avg_consumer_price_EUR_per_MWh,,82.81559848180565,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,avg_producer_price_EUR_per_MWh,,80.83153194646862,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,capacity_factor,,1.2388937878162647,2.7053368699097777e-19,,0.0466403996190969,,,-2.371091009421161e-17,,,0.8019207506293796,0.2950838056477705,0.4653843217473396,0.0,0.1814387568214098,0.3137948760227723,0.085736257795093,0.0,0.2070865404573003,0.3714435701992705,0.0,0.0,0.7758452989642761,0.2030288550984274,0.0964991661487132,0.1051173735723941,0.1493831184778269,0.5381241846629613
2028-base,CZ,S,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0076487071978791,,,,,,,,0.1379194720822587,0.1486106340857438,,
2028-base,CZ,S,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,S,charged_TWh,,2.322187569089648,,,,,,,,,,,,,0.0,0.0,0.041962064523132,,,,,,,,0.4000150166927235,0.2856177498620728,,
2028-base,CZ,S,curtailment_TWh,,0.0002120960455138,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,discharged_TWh,,5.832076210053298,,,,,,,,,,,,,0.4826474142857143,0.5688222476639997,0.0374495974048966,,,,,,,,0.2857826665460788,0.2158017632491822,,
2028-base,CZ,S,emissions_MtCO2,,31.948457094935844,0.0,0.0,0.0,0.0,0.0,-1.0062233712915364e-17,0.0,0.0,0.8496016753886015,0.3870644967397593,0.3292625722496306,0.0,0.0,0.0,0.0,0.0,0.6483481312883468,2.682422235338463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,S,export_TWh,,1.569103884753354,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,heat_production_PJ,,,1.6023022908483705e-18,,,,0.0,-7.116278766261618e-17,,-1.5102159522939449e-18,,1.6212392815617012,2.4245698502018254,,,,,,3.501079908957073,16.213405439279402,,,,,,,,
2028-base,CZ,S,import_TWh,,6.850605586525978,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.483751,0.571188,,,,,,,,,,0.012085,,
2028-base,CZ,S,load_TWh,,30.557496582,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,net_import_TWh,,5.281501701772624,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,S,opex_mn_EUR,,,1.501270061352262e-17,0.0,5.65650123474309,0.0,0.0,-5.432756457816239e-16,0.0,,186.60179289537507,66.36825307424749,72.90921003245796,0.0,1.447942242857143,,0.1872479870244831,0.0,71.47144378841519,119.19591317172804,0.0,0.0,284.9058333494021,0.0,1.1431306661843157,0.863207052996729,0.0,19.09897788530144
2028-base,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.968833556801618,0.9766010697617014,,,0.8907234789958579,
2028-base,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.0309176617136159,0.0233924048450837,,,0.1081932841502523,
2028-base,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0002487814847661,6.52539321494737e-06,,,0.0010832368538897,
2028-base,CZ,S,production_TWh,,114.1709664067908,9.890754881780068e-20,0.0,0.056839349084604,0.0,0.0,-4.834092914322956e-18,0.0,4.195044311927625e-19,2.162622446443713,0.7600829601711713,0.6734916250560626,0.0,0.4826474142857143,0.5688222476639997,0.0374495974048966,0.0,0.3241740656441734,1.0739494735051889,0.0,0.0,13.891069397825554,0.4434150195349656,0.2857826665460788,0.2158017632491822,4.567538230578035,0.4601155503574797
2028-base,CZ,S,production_el_eq_TWh,,,2.472688720445016e-19,,,,0.0,-1.1893893277677737e-17,,0.0,,0.9852550826102964,0.6734916250560626,,,,,,0.3241740656441734,2.682422235338463,,,,,,,,
2028-base,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
2028-base,CZ,S,production_hours,,,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,3712.0,3990.0,2452.0,0.0,4368.0,4368.0,432.0,0.0,2545.0,4368.0,0.0,0.0,,,618.0,725.0,,2998.0
2028-base,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.4434150195349656,,,4.567538230578035,
2028-base,CZ,S,wholesale_expenses_mn_EUR,446.2167988685696,,,,,,,,,,,,,,0.0,0.0,2.3510134625479187,,,,,,,,17.19110195778847,12.704563110150636,,
2028-base,CZ,S,wholesale_revenues_mn_EUR,2.132354554552905,,4.18339416209308e-19,0.0,5.702624176934563,0.0,0.0,-4.377280748631417e-16,0.0,,195.4637475844668,70.2408449615875,64.98702855256072,0.0,44.93782694991238,47.773590182992486,3.670912916064391,0.0,28.225314122457725,88.38525921816846,0.0,0.0,1158.0466995029906,36.49290655018648,27.94502723586557,21.189447244213856,282.01034722204093,43.809514868628334
2028-base,CZ,W,avg_consumer_price_EUR_per_MWh,,100.33519643013612,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,avg_producer_price_EUR_per_MWh,,100.38542136789232,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,capacity_factor,,1.2321238764074327,-1.3744846019543886e-19,,0.5265643614369999,,,0.0776639344262295,,,0.9648876091163036,0.7702809510315034,0.6009110388451571,0.0934111150051205,0.145820333346579,0.3238126458475065,0.1112311185059863,0.1612793734403036,0.8577973568493868,0.6023168125833107,0.0195766817001681,0.37952558967936,0.8170054343251856,0.2865378432144589,0.0536787156005234,0.0661754232541381,0.0714289592040666,0.79450673073576
2028-base,CZ,W,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0097545483542702,,,,,,,,0.0750645291174289,0.0831988295209653,,
2028-base,CZ,W,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,W,charged_TWh,,2.322187569089648,,,,,,,,,,,,,0.0,0.0,0.0538090939034118,,,,,,,,0.2189097854908086,0.160780074072675,,
2028-base,CZ,W,curtailment_TWh,,2.0609149942174548e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,discharged_TWh,,5.832076210053298,,,,,,,,,,,,,0.3900297285714286,0.5902068333333332,0.0488527072478292,,,,,,,,0.1598431910260643,0.136601955698122,,
2028-base,CZ,W,emissions_MtCO2,,31.948457094935844,-0.0,0.0,0.0,0.0,0.0,0.033139447704,0.0,0.0,1.027875086284372,1.0159371032601878,0.4274846277504194,0.02171935257481,0.0,0.0,0.0,0.6872305057069492,2.7003545887116496,4.373599216383594,0.1147556890842208,0.6754338190029153,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,W,export_TWh,,1.9427891066145888,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,heat_production_PJ,,,-8.185452315956358e-19,,,,0.0,0.1973107957679999,,4.092726157978178e-19,,1.3588220833239617,3.147841349798543,,,,,,14.581914779042906,23.117122832066585,,,,,,,,
2028-base,CZ,W,import_TWh,,7.119157510036904,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,inflow_TWh,,,,,,,,,,,,,,,0.3889261428571428,0.590768,,,,,,,,,,0.0189122857142857,,
2028-base,CZ,W,load_TWh,,35.824550846,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,net_import_TWh,,5.176368403422315,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,W,opex_mn_EUR,,,-7.669323429641596e-18,0.0,63.60534794516105,0.0,0.0,2.2989449706117755,0.0,,220.38491816478748,208.2757539489954,94.6586983675531,4.795696582508623,1.170089185714286,1.1804136666666665,0.244263536239146,77.41192395685295,294.98012956975094,231.58927347740016,13.136948739934226,75.85841774231137,301.6691192865061,0.0,0.6393727641042574,0.5464078227924883,0.0,26.894131337148345
2028-base,CZ,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.996393284827412,0.9985084155296684,,,0.9693600001843738,
2028-base,CZ,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.0036067151725877,0.0014915844703317,,,0.0306399998156261,
2028-base,CZ,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,
2028-base,CZ,W,production_TWh,,114.1709664067908,-5.052748343182936e-20,0.0,0.6452351184453338,0.0,0.0,0.0195974402928571,0.0,-1.1368683772161602e-19,2.616409310542038,2.397296428039019,0.8744003749440398,0.0394897319542001,0.3900297285714286,0.5902068333333332,0.0488527072478292,0.6872305057069492,1.3501772943558248,2.0802338560595275,0.1032801201757987,0.7260913554281339,14.708391969112927,0.6292371036989517,0.1598431910260643,0.136601955698122,2.1960119217698244,0.6830644496423779
2028-base,CZ,W,production_el_eq_TWh,,,-1.2631870857957338e-19,,,,0.0,0.039171924,,0.0,,2.586021717389569,0.8744003749440398,,,,,,1.3501772943558248,4.373599216383594,,,,,,,,
2028-base,CZ,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
2028-base,CZ,W,production_hours,,,0.0,0.0,2471.0,0.0,0.0,390.0,0.0,0.0,4283.0,4285.0,2995.0,483.0,4392.0,4392.0,563.0,1043.0,4370.0,4392.0,153.0,1800.0,,,345.0,494.0,,3811.0
2028-base,CZ,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,0.6292371036989517,,,2.1960119217698244,
2028-base,CZ,W,wholesale_expenses_mn_EUR,537.4156748263044,,,,,,,,,,,,,,0.0,0.0,4.534654184134531,,,,,,,,15.366219650246796,11.383418106657055,,
2028-base,CZ,W,wholesale_revenues_mn_EUR,39.82336909140847,,-2.097932448635921e-19,0.0,71.81240552430859,0.0,0.0,2.377203798038116,0.0,,262.4850506425439,251.74815200924743,95.73145126789886,5.098196190662121,43.1088762124894,58.3496680342509,5.535333046827704,80.38974253166998,136.51482686445456,218.60220628321696,13.415698294485695,81.4573580963625,1457.3029445671837,59.60410132786237,18.69208968175575,16.11571597884154,179.24500317729547,71.29901231385183
2028-base,CZ,Y,avg_consumer_price_EUR_per_MWh,,92.27043984056594,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,avg_producer_price_EUR_per_MWh,,91.572797739412,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,capacity_GW,,21.0978875,0.20925,0.0,0.279,0.0,0.0,0.11484,0.0,,0.6174,0.7644,0.3313124999999999,0.096255,0.609,0.415,0.1,0.9702,0.35838,1.6533000000000002,1.2011999999999998,0.4356,4.099,0.5,0.678,0.47,7.0,0.19575
2028-base,CZ,Y,capacity_charging_GW,,,,,,,,,,,,,,,0.0,0.0,1.25599,,,,,,,,0.664,0.44,,
2028-base,CZ,Y,capacity_charging_paid_off_GW,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
2028-base,CZ,Y,capacity_factor,,0.3088748895651509,6.598373374408943e-20,,0.2872598106127304,,,0.0389383561643835,,,0.8836274221447415,0.5333333333333133,0.5333333333333686,0.0468335179340741,0.16358075272307,0.3188174839075021,0.0985186126172669,0.0808606173687001,0.5333333333333328,0.4871964561068852,0.009815158222276,0.1902826929077339,0.7964817503918005,0.2448977450305747,0.0750302827231824,0.0855930532758438,0.1102992523213936,0.6666666666665837
2028-base,CZ,Y,capacity_factor_charging,,,,,,,,,,,,,,,,,0.0087045124899876,,,,,,,,0.1064058979382482,0.115815126591622,,
2028-base,CZ,Y,capacity_paid_off_GW,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,Y,capex_mn_EUR_per_yr,,,109.81713302115293,0.0,16.217086196531145,0.0,0.0,26.048184884115727,0.0,,76.18061222457844,138.841538451773,22.59441391073202,7.893982066856129,123.71530195731836,84.30517292657983,4.011568788183623,321.06706043239666,118.59824069033428,547.1244805327576,397.5115986305863,144.15255774515765,2738.469079112492,68.82996852045387,137.73230661258106,95.4781476517892,362.9795164565344,228.2938717209026
2028-base,CZ,Y,charged_TWh,,1.161093784544824,,,,,,,,,,,,,0.0,0.0,0.0957711584265439,,,,,,,,0.6189248021835322,0.4463978239347478,,
2028-base,CZ,Y,curtailment_TWh,,0.0002120960455159,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,discharged_TWh,,2.916038105026649,,,,,,,,,,,,,0.8726771428571428,1.159029080997333,0.0863023046527258,,,,,,,,0.445625857572143,0.3524037189473043,,
2028-base,CZ,Y,emissions_MtCO2,,15.974228547467922,0.0,0.0,0.0,0.0,0.0,0.0331394477039999,0.0,0.0,1.8774767616729733,1.4030015999999472,0.75674720000005,0.02171935257481,0.0,0.0,0.0,0.6872305057069492,3.3487027199999964,7.056021451722057,0.1147556890842208,0.6754338190029153,0.0,0.0,0.0,0.0,0.0,0.0
2028-base,CZ,Y,export_TWh,,3.511892991367942,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,heat_production_PJ,,,7.837570592527352e-19,,,,0.0,0.1973107957679999,,-1.1009433364961272e-18,,2.980061364885662,5.572411200000369,,,,,,18.08299468799997,39.33052827134598,,,,,,,,
2028-base,CZ,Y,import_TWh,,13.96976309656288,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,inflow_TWh,,,,,,,,,,,,,,,0.8726771428571429,1.161956,,,,,,,,,,0.0309972857142857,,
2028-base,CZ,Y,load_TWh,,66.382047428,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,net_import_TWh,,10.45787010519494,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,CZ,Y,opex_mn_EUR,,,7.343377183881025e-18,0.0,69.26184917990415,0.0,0.0,2.298944970611775,0.0,,406.9867110601626,274.64400702324286,167.56790840001105,4.795696582508623,2.618031428571429,2.318058161994666,0.4315115232636292,77.41192395685295,366.45157335816606,350.78518664912826,13.136948739934226,75.85841774231137,586.5749526359082,0.0,1.7825034302885725,1.4096148757892173,0.0,45.99310922244979
2028-base,CZ,Y,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,0.9830072252202172,0.9894523143564606,,,0.916255445807184,
2028-base,CZ,Y,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,0.016871938907196,0.0105449881638092,,,0.0830130262775249,
2028-base,CZ,Y,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,0.0001208358725865,2.697479730106527e-06,,,0.0007315279152908,
