name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,oil,onshore,pump,pump_open,solar,waste
2028-base,AT,S,avg_consumer_price_EUR_per_MWh,,76.08687589523923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,avg_producer_price_EUR_per_MWh,,65.57178095807181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,capacity_factor,,0.8861847700482826,,0.0,,,,,,0.0,,0.2121184251797918,,,,0.30135992478435,0.6689379727971694,0.3733228798990241,0.0792020469037847,,,,,,,,0.0,0.2988286976302151,,0.101745011958868,0.1557030345210622,0.5374782500112477
2028-base,AT,S,capacity_factor_charging,,,,,,,,,,,,,,,,,,,0.0891517917646294,,,,,,,,,,,0.1683496304603799,,
2028-base,AT,S,capex_mn_EUR_per_yr,,,,87.78898862808691,,,,,,0.0,,419.8632624670946,,,,514.3631273496388,233.61674425437783,1006.7865952388668,141.84859096191832,,,,,,,,7.504019106720023,919.5683794332635,,880.0241183564913,844.1866468446258,94.46642967761484
2028-base,AT,S,charged_TWh,,13.770140805189625,,,,,,,,,,,,,,0.0,0.0,0.0,1.3769668604687428,,,,,,,,,,,2.711548669730471,,
2028-base,AT,S,curtailment_TWh,,0.0218251583712664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,discharged_TWh,,64.962853210974,,,,,,,,,,,,,,3.332973263491759,3.3602092249547413,8.081622026061133,1.223291105082097,,,,,,,,,,,1.925237023407807,,
2028-base,AT,S,emissions_MtCO2,,12.49925244912618,,0.0,,,,,,0.0,0.0,1.2385847267174008,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0
2028-base,AT,S,export_TWh,,6.193003219622339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,heat_production_PJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,import_TWh,,4.532721605004428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,inflow_TWh,,,,,,,,,,,,,,,,4.125687,3.366371,8.158552,,,,,,,,,,,,1.697761,,
2028-base,AT,S,load_TWh,,35.28713574133301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,net_import_TWh,,-1.660281614617911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,opex_mn_EUR,,,,0.0,,,,,,0.0,,278.1186776649783,,,,9.998919790475275,6.720418449909483,,6.116455525410484,,,,,,,,0.0,0.0,,7.700948093631227,0.0,7.965657934907324
2028-base,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8018615480093655,,,0.5059286208308745,
2028-base,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1921884959031518,,,0.4841352256694046,
