data_version,YEAR,MARKET_NODE,Category,Value
ERAA 2025 final,2028,NON1,FRR,600
ERAA 2025 final,2028,NOS1,FCR,300
ERAA 2025 final,2028,NOS1,FRR,600
ERAA 2025 final,2028,NOS2,FCR,300
ERAA 2025 final,2028,NOS2,FRR,600
ERAA 2025 final,2028,NOS3,FCR,300
ERAA 2025 final,2028,NOS3,FRR,600
ERAA 2025 final,2028,PL00,FCR,200
ERAA 2025 final,2028,PL00,FRR,1000
ERAA 2025 final,2028,PT00,FCR,53
ERAA 2025 final,2028,PT00,FRR,1300
ERAA 2025 final,2028,RO00,FCR,60
ERAA 2025 final,2028,RO00,FRR,1850
ERAA 2025 final,2028,RS00,FCR,34
ERAA 2025 final,2028,RS00,FRR,1431.721
ERAA 2025 final,2028,SE01,FCR,322
ERAA 2025 final,2028,SE01,FRR,147
ERAA 2025 final,2028,SE02,FCR,403
ERAA 2025 final,2028,SE02,FRR,174
ERAA 2025 final,2028,SE03,FCR,64
ERAA 2025 final,2028,SE03,FRR,324
ERAA 2025 final,2028,SE04,FRR,356
ERAA 2025 final,2028,SI00,FCR,29
ERAA 2025 final,2028,SI00,FRR,140
ERAA 2025 final,2028,SK00,FCR,15
ERAA 2025 final,2028,SK00,FRR,773
ERAA 2025 final,2028,UKNI,FRR,175
ERAA 2025 pre-CfE,2028,AL00,FCR,8
ERAA 2025 pre-CfE,2028,AL00,FRR,149
ERAA 2025 pre-CfE,2028,AT00,FCR,64.998
ERAA 2025 pre-CfE,2028,AT00,FRR,479.998
ERAA 2025 pre-CfE,2028,CY00,FCR,30
ERAA 2025 pre-CfE,2028,CY00,FRR,10
ERAA 2025 pre-CfE,2028,CZ00,FCR,22
ERAA 2025 pre-CfE,2028,CZ00,FRR,962
ERAA 2025 pre-CfE,2028,DE00,FCR,564
ERAA 2025 pre-CfE,2028,DE00,FRR,2550
ERAA 2025 pre-CfE,2028,DKE1,FCR,50
ERAA 2025 pre-CfE,2028,DKE1,FRR,550
ERAA 2025 pre-CfE,2028,DKW1,FCR,25
ERAA 2025 pre-CfE,2028,DKW1,FRR,550
ERAA 2025 pre-CfE,2028,EE00,FCR,12
ERAA 2025 pre-CfE,2028,EE00,FRR,303
ERAA 2025 pre-CfE,2028,ES00,FCR,350
ERAA 2025 pre-CfE,2028,ES00,FRR,6249.999
ERAA 2025 pre-CfE,2028,FI00,FCR,325
ERAA 2025 pre-CfE,2028,FI00,FRR,1613.999
ERAA 2025 pre-CfE,2028,FR00,FRR,2100
ERAA 2025 pre-CfE,2028,GR00,FCR,40
