MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
PL00,Available on market,6110,26992,2030,PL,ERAA 2025 final
PT00,Available on market,2000,8000,2030,PT,ERAA 2025 final
RO00,Available on market,2000,4000,2030,RO,ERAA 2025 final
RS00,Available on market,622.49,1978.56,2030,RS,ERAA 2025 final
SE01,Available on market,50,3.73,2030,SE,ERAA 2025 final
SE02,Available on market,50,94.72,2030,SE,ERAA 2025 final
SE03,Available on market,50,692.39,2030,SE,ERAA 2025 final
SE04,Available on market,50,637.28,2030,SE,ERAA 2025 final
SI00,Available on market,448.0833333,806.55,2030,SI,ERAA 2025 final
SK00,Available on market,386,779,2030,SK,ERAA 2025 final
UK00,Available on market,24700.37,43639.78,2030,UK,ERAA 2025 final
UKNI,Available on market,100,140,2030,UK,ERAA 2025 final
AT00,Available on market,2680,5360,2033,AT,ERAA 2025 final
AT00,Out of market - for PV/battery dispatch optimization,4389.993,8779.986,2033,AT,ERAA 2025 final
BE00,Available on market,3269,10166.10501,2033,BE,ERAA 2025 final
BG00,Available on market,1228.4,2680,2033,BG,ERAA 2025 final
CH00,Out of market - for PV/battery dispatch optimization,2719,1350,2033,CH,ERAA 2025 final
CY00,Available on market,160,400,2033,CY,ERAA 2025 final
CZ00,Available on market,1907.66,3815.32,2033,CZ,ERAA 2025 final
DE00,Available on market,31466.77,65128.1,2033,DE,ERAA 2025 final
DE00,Out of market - for PV/battery dispatch optimization,33324.8,76647.04,2033,DE,ERAA 2025 final
DKE1,Available on market,282.64,565.28,2033,DK,ERAA 2025 final
DKW1,Available on market,615.11,16590.21,2033,DK,ERAA 2025 final
EE00,Available on market,1000,2000,2033,EE,ERAA 2025 final
ES00,Available on market,2767.92,6805.84,2033,ES,ERAA 2025 final
FI00,Available on market,4111.1,8222.2,2033,FI,ERAA 2025 final
GR00,Available on market,4800,12239.25,2033,GR,ERAA 2025 final
GR03,Available on market,110,284,2033,GR,ERAA 2025 final
HR00,Available on market,66,66,2033,HR,ERAA 2025 final
HU00,Available on market,538.4515667,1076.903133,2033,HU,ERAA 2025 final
