name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,oil,onshore,pump,pump_open,solar,waste
2028-base,AT,S,avg_consumer_price_EUR_per_MWh,,75.95309609606868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,avg_producer_price_EUR_per_MWh,,63.88922745955769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,capacity_factor,,0.9043222533487514,,0.0,,,,,,0.0,,0.2823601379254604,,,,0.3008042790765885,0.7092392206046304,0.3771428049255539,0.0774003039593896,,,,,,,,0.0,0.2567062727477296,,0.1087582050405159,0.1617631669805402,0.5666208791208791
2028-base,AT,S,capacity_factor_charging,,,,,,,,,,,,,,,,,,,0.0887372475209997,,,,,,,,,,,0.1707021040610133,,
2028-base,AT,S,capex_mn_EUR_per_yr,,,,87.78898862808691,,,,,,0.0,,419.8632624670946,,,,514.3631273496388,233.61674425437783,1006.7865952388668,141.84859096191832,,,,,,,,7.504019106720023,919.5683794332635,,880.0241183564913,844.1866468446258,94.46642967761484
2028-base,AT,S,charged_TWh,,12.835376780657716,,,,,,,,,,,,,,0.0,0.0,0.0,1.3705641435476603,,,,,,,,,,,2.749439139967499,,
2028-base,AT,S,curtailment_TWh,,0.1106178474427949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,discharged_TWh,,66.51029668574981,,,,,,,,,,,,,,3.326827946428556,3.56265045294118,8.164315029609847,1.195462832913823,,,,,,,,,,,2.057941897220729,,
2028-base,AT,S,emissions_MtCO2,,13.056633051203422,,0.0,,,,,,0.0,0.0,1.6487344462031766,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0
2028-base,AT,S,export_TWh,,6.561358769554725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,heat_production_PJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,import_TWh,,4.24473976876959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,inflow_TWh,,,,,,,,,,,,,,,,4.111511,3.60042,8.348441,,,,,,,,,,,,1.75887,,
2028-base,AT,S,load_TWh,,35.150595891125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,net_import_TWh,,-2.316619000785135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-base,AT,S,opex_mn_EUR,,,,0.0,,,,,,0.0,,365.1382426859573,,,,9.980483839285668,7.125300905882359,,5.977314164569116,,,,,,,,0.0,0.0,,8.231767588882915,0.0,8.3521125
2028-base,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7965553243378214,,,0.4607147997616445,
2028-base,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1867748193986771,,,0.4984004116480379,
2028-base,AT,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166698562635013,,,0.0408847885903176,
2028-base,AT,S,production_TWh,,173.4528855499148,,0.0,,,,,,0.0,0.0,4.196778590335359,,,,3.326827946428556,3.56265045294118,8.164315029609847,1.195462832913823,,,,,,,,0.0,7.4902372357387135,,2.057941897220729,11.50314703767988,0.200475
